ID,year,age,sex,status,education,jobclass,health,health_ins,wage
2290,2009,47,Male,Separated,HS Grad,Industrial,Very Good,No,111.7208494
2291,2007,45,Male,Married,HS Grad,Industrial,Very Good,Yes,148.4131591
2292,2008,34,Male,Never Married,College Grad,Information,Very Good,Yes,108.8745258
2293,2004,57,Male,Married,HS Grad,Industrial,Very Good,Yes,104.9215065
2294,2005,32,Male,Never Married,Some College,Information,Very Good,Yes,86.17378673
2295,2009,55,Male,Divorced,HS Grad,Information,Good,Yes,102.8702469
2296,2008,22,Male,Never Married,College Grad,Information,Very Good,No,76.28327785
2297,2005,51,Male,Married,HS Grad,Information,Very Good,Yes,124.7204462
2298,2006,26,Male,Never Married,HS Grad,Industrial,Good,No,66.96164432
2299,2004,27,Male,Never Married,College Grad,Information,Very Good,No,54.59815003
2300,2004,34,Male,Married,College Grad,Information,Very Good,Yes,166.3249412
2301,2007,48,Male,Married,HS Grad,Information,Very Good,Yes,91.70163967
2302,2008,23,Male,Married,HS Grad,Industrial,Very Good,No,78.346562
2303,2003,41,Male,Married,HS Grad,Industrial,Very Good,Yes,111.7208494
2304,2009,49,Male,Divorced,Advanced Degree,Information,Very Good,Yes,151.5914842
2305,2005,47,Male,Married,Advanced Degree,Information,Good,Yes,120.5894365
2306,2005,35,Male,Divorced,College Grad,Industrial,Very Good,Yes,117.1468169
2307,2007,50,Male,Married,HS Grad,Industrial,Very Good,Yes,81.98531783
2308,2006,55,Male,Married,HS Grad,Industrial,Good,Yes,137.5901428
2309,2009,69,Male,Married,HS Grad,Industrial,Good,Yes,40.40566526
2310,2004,45,Male,Married,HS Grad,Industrial,Very Good,Yes,154.685293
2311,2005,40,Male,Married,Some College,Industrial,Good,Yes,154.685293
2312,2005,47,Male,Never Married,College Grad,Information,Very Good,Yes,143.3253181
2313,2008,22,Male,Never Married,Some College,Industrial,Very Good,Yes,78.3924668
2314,2003,42,Male,Divorced,HS Grad,Industrial,Very Good,No,85.38394038
2315,2008,47,Male,Married,College Grad,Information,Very Good,Yes,159.4741767
2316,2005,48,Male,Married,HS Grad,Industrial,Very Good,No,66.22940829
2317,2009,28,Male,Never Married,HS Grad,Industrial,Very Good,No,111.7208494
2318,2005,49,Male,Never Married,Some College,Industrial,Good,Yes,90.72707931
2319,2009,51,Male,Divorced,HS Grad,Industrial,Good,Yes,128.6804882
2320,2003,58,Male,Married,Advanced Degree,Industrial,Very Good,Yes,148.4131591
2321,2005,32,Male,Never Married,Some College,Information,Good,Yes,114.4757133
2322,2009,55,Male,Married,HS Grad,Industrial,Good,Yes,87.98103279
2323,2007,49,Male,Married,HS Grad,Information,Good,Yes,94.07271475
2324,2004,46,Male,Married,HS Grad,Industrial,Very Good,No,87.98103279
2325,2003,44,Male,Married,Advanced Degree,Information,Good,Yes,182.020621
2326,2003,25,Male,Married,Some College,Industrial,Very Good,Yes,87.98103279
2327,2004,73,Male,Divorced,Less than HS Grad,Industrial,Good,Yes,92.89584479
2328,2004,18,Male,Never Married,HS Grad,Industrial,Very Good,Yes,72.15045568
2329,2005,52,Male,Married,Less than HS Grad,Information,Very Good,Yes,122.2636739
2330,2008,28,Male,Married,HS Grad,Industrial,Very Good,No,72.15045568
2331,2004,51,Male,Married,HS Grad,Industrial,Very Good,No,82.6796373
2332,2009,44,Male,Married,College Grad,Information,Very Good,Yes,176.9896505
2333,2008,44,Male,Married,Some College,Information,Very Good,Yes,141.7751723
2334,2003,29,Male,Married,HS Grad,Industrial,Very Good,Yes,95.23071257
2335,2006,48,Male,Married,College Grad,Information,Good,No,141.7751723
2336,2006,62,Male,Married,HS Grad,Information,Good,Yes,101.8243521
2337,2004,40,Male,Married,Advanced Degree,Information,Very Good,Yes,131.7378012
2338,2003,24,Male,Never Married,Some College,Industrial,Good,No,66.32519494
2339,2003,48,Male,Married,College Grad,Industrial,Very Good,Yes,118.8843593
2340,2008,54,Male,Married,Advanced Degree,Information,Good,Yes,163.515864
2341,2003,69,Male,Married,Less than HS Grad,Information,Very Good,Yes,114.4757133
2342,2006,48,Male,Married,HS Grad,Industrial,Good,No,123.0896998
2343,2003,73,Male,Married,Less than HS Grad,Industrial,Very Good,No,40.19437052
2344,2009,30,Male,Married,Some College,Information,Very Good,No,70.5134157
2345,2003,41,Male,Never Married,Some College,Information,Good,No,73.77574327
2346,2009,48,Male,Married,Less than HS Grad,Information,Very Good,No,100.8794609
2347,2004,63,Male,Married,College Grad,Information,Very Good,Yes,84.04595765
2348,2003,29,Male,Married,Some College,Information,Very Good,No,85.38394038
2349,2004,40,Male,Married,Some College,Industrial,Very Good,Yes,141.7751723
2350,2007,52,Male,Married,Some College,Information,Good,Yes,91.09321847
2351,2008,54,Male,Separated,HS Grad,Industrial,Good,Yes,114.4757133
2352,2009,33,Male,Married,College Grad,Industrial,Very Good,Yes,267.9010869
2353,2004,42,Male,Married,College Grad,Information,Good,Yes,160.6424754
2354,2007,31,Male,Married,HS Grad,Industrial,Very Good,Yes,94.07271475
2355,2006,46,Male,Married,Some College,Information,Very Good,Yes,139.6758702
2356,2008,44,Male,Married,College Grad,Industrial,Very Good,Yes,125.1238157
2357,2009,45,Male,Separated,HS Grad,Industrial,Very Good,No,113.5670896
2358,2003,40,Male,Married,HS Grad,Industrial,Very Good,No,182.020621
2359,2005,31,Male,Never Married,HS Grad,Industrial,Very Good,Yes,102.8702469
2360,2006,19,Male,Never Married,HS Grad,Industrial,Very Good,No,76.89360252
2361,2003,43,Male,Married,HS Grad,Industrial,Good,Yes,109.8339856
2362,2007,56,Male,Married,College Grad,Information,Very Good,Yes,142.4571699
2363,2006,55,Male,Married,Some College,Industrial,Very Good,Yes,101.8243521
2364,2006,59,Male,Married,Advanced Degree,Information,Good,Yes,118.8843593
2365,2009,49,Male,Divorced,Less than HS Grad,Information,Good,Yes,102.8702469
2366,2009,42,Male,Married,College Grad,Industrial,Very Good,Yes,128.6804882
2367,2008,27,Male,Never Married,HS Grad,Industrial,Very Good,No,61.18752643
2368,2003,34,Male,Never Married,HS Grad,Industrial,Good,No,81.28607729
2369,2008,47,Male,Married,College Grad,Information,Very Good,Yes,276.7784133
2370,2003,35,Male,Married,Advanced Degree,Information,Very Good,Yes,268.266292
2371,2004,33,Male,Married,Some College,Information,Very Good,Yes,104.9215065
2372,2003,35,Male,Married,HS Grad,Industrial,Very Good,Yes,144.4780877
2373,2004,40,Male,Married,Some College,Information,Good,Yes,118.8843593
2374,2004,53,Male,Married,College Grad,Information,Very Good,No,94.07271475
2375,2007,47,Male,Married,College Grad,Information,Very Good,Yes,73.77574327
2376,2006,45,Male,Never Married,Advanced Degree,Information,Very Good,Yes,196.1252726
2377,2009,34,Male,Married,College Grad,Industrial,Very Good,Yes,169.07354
2378,2006,25,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,69.6190369
2379,2006,56,Male,Married,College Grad,Information,Very Good,No,124.7204462
2380,2005,54,Male,Married,Some College,Information,Very Good,Yes,115.5180852
2381,2003,41,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,89.24288466
2382,2008,46,Male,Married,Advanced Degree,Information,Very Good,Yes,276.7784133
2383,2004,44,Male,Married,Advanced Degree,Industrial,Very Good,Yes,170.6951277
2384,2004,44,Male,Divorced,College Grad,Information,Good,Yes,99.6894637
2385,2005,46,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
2386,2009,38,Male,Married,College Grad,Information,Very Good,Yes,114.4757133
2387,2008,36,Male,Married,HS Grad,Industrial,Very Good,No,128.6804882
2388,2009,27,Male,Never Married,College Grad,Information,Very Good,Yes,99.6894637
2389,2008,33,Male,Married,HS Grad,Industrial,Good,No,128.6804882
2390,2006,56,Male,Married,HS Grad,Industrial,Good,Yes,140.3982002
2391,2005,52,Male,Married,HS Grad,Information,Very Good,Yes,111.7208494
2392,2008,33,Male,Never Married,Advanced Degree,Information,Very Good,Yes,125.5254984
2393,2008,32,Male,Married,College Grad,Industrial,Very Good,No,94.07271475
2394,2008,39,Male,Divorced,College Grad,Industrial,Very Good,Yes,118.8843593
2395,2005,22,Male,Never Married,HS Grad,Industrial,Good,No,72.15045568
2396,2009,53,Male,Married,College Grad,Industrial,Very Good,No,104.9215065
2397,2006,36,Male,Married,College Grad,Industrial,Very Good,Yes,277.7994802
2398,2005,37,Male,Married,Less than HS Grad,Industrial,Very Good,No,73.77574327
2399,2008,40,Male,Married,HS Grad,Information,Very Good,Yes,130.9821774
2400,2005,51,Male,Married,HS Grad,Industrial,Good,Yes,78.21457569
2401,2008,40,Male,Married,HS Grad,Information,Very Good,Yes,90.48191336
2402,2006,56,Male,Married,Advanced Degree,Information,Very Good,Yes,117.1468169
2403,2009,50,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
2404,2009,49,Male,Married,HS Grad,Industrial,Very Good,Yes,166.3249412
2405,2007,32,Male,Married,Less than HS Grad,Information,Very Good,No,81.28325328
2406,2004,21,Male,Never Married,HS Grad,Information,Very Good,Yes,84.04595765
2407,2004,48,Male,Married,College Grad,Information,Good,Yes,114.4757133
2408,2007,48,Male,Married,Some College,Industrial,Very Good,Yes,73.77574327
2409,2004,32,Male,Married,Some College,Industrial,Very Good,Yes,115.1062017
2410,2003,30,Male,Never Married,Some College,Industrial,Very Good,Yes,53.02755112
2411,2006,30,Male,Married,Some College,Industrial,Very Good,No,118.8843593
2412,2003,33,Male,Married,Less than HS Grad,Information,Very Good,No,79.85490031
2413,2005,56,Male,Married,Advanced Degree,Industrial,Very Good,No,56.45386498
2414,2004,46,Male,Divorced,Some College,Information,Very Good,Yes,90.48191336
2415,2003,49,Male,Married,Some College,Industrial,Very Good,Yes,104.9215065
2416,2008,24,Male,Never Married,HS Grad,Industrial,Very Good,No,87.98103279
2417,2009,48,Male,Never Married,Some College,Information,Very Good,Yes,147.1166892
2418,2006,37,Male,Divorced,College Grad,Industrial,Good,No,109.8339856
2419,2007,53,Male,Married,Some College,Industrial,Good,Yes,118.8843593
2420,2004,56,Male,Married,Advanced Degree,Information,Very Good,Yes,141.7751723
2421,2008,34,Male,Married,Some College,Information,Very Good,No,108.8745258
2422,2004,56,Male,Married,Some College,Industrial,Good,Yes,104.9215065
2423,2006,48,Male,Married,HS Grad,Industrial,Very Good,Yes,109.8339856
2424,2006,47,Male,Married,HS Grad,Industrial,Very Good,No,27.14057921
2425,2003,52,Male,Married,Some College,Information,Very Good,Yes,70.47601965
2426,2009,40,Male,Married,Some College,Industrial,Very Good,Yes,166.8793833
2427,2008,25,Male,Married,HS Grad,Information,Very Good,Yes,127.1157438
2428,2009,35,Male,Married,College Grad,Industrial,Very Good,Yes,117.1468169
2429,2006,40,Male,Never Married,Some College,Information,Good,Yes,103.9024706
2430,2009,22,Male,Never Married,HS Grad,Industrial,Very Good,No,34.60741773
2431,2003,50,Male,Divorced,Some College,Information,Good,Yes,100.0134869
2432,2008,48,Male,Separated,Less than HS Grad,Industrial,Very Good,No,64.86896919
2433,2007,40,Male,Never Married,Advanced Degree,Industrial,Very Good,Yes,109.8339856
2434,2003,45,Male,Married,Some College,Information,Very Good,Yes,127.1157438
2435,2004,30,Male,Married,College Grad,Information,Very Good,Yes,114.4757133
2436,2003,46,Male,Married,College Grad,Industrial,Very Good,Yes,117.1468169
2437,2008,34,Male,Married,HS Grad,Industrial,Very Good,Yes,134.7053751
2438,2007,32,Male,Married,Less than HS Grad,Industrial,Very Good,No,65.11085372
2439,2004,53,Male,Married,College Grad,Industrial,Good,Yes,143.1349408
2440,2008,32,Male,Never Married,Some College,Industrial,Very Good,No,76.89360252
2441,2004,39,Male,Married,College Grad,Industrial,Very Good,No,99.6894637
2442,2007,51,Male,Married,College Grad,Information,Very Good,Yes,94.07271475
2443,2004,40,Male,Married,HS Grad,Information,Good,Yes,75.35567932
2444,2009,66,Male,Married,College Grad,Information,Good,Yes,127.1157438
2445,2006,40,Male,Married,College Grad,Industrial,Very Good,Yes,166.3249412
2446,2009,52,Male,Married,Advanced Degree,Information,Very Good,No,133.2323508
2447,2007,36,Male,Married,Some College,Information,Very Good,Yes,125.5254984
2448,2007,32,Male,Never Married,HS Grad,Industrial,Good,Yes,89.49247952
2449,2008,45,Male,Married,HS Grad,Information,Very Good,No,84.04595765
2450,2006,37,Male,Married,HS Grad,Information,Very Good,Yes,169.07354
2451,2004,47,Male,Married,Advanced Degree,Information,Very Good,Yes,160.6424754
2452,2008,49,Male,Married,HS Grad,Industrial,Very Good,Yes,144.1706065
2453,2003,53,Male,Married,Less than HS Grad,Information,Very Good,No,73.77574327
2454,2007,66,Male,Divorced,HS Grad,Information,Good,Yes,70.47601965
2455,2006,33,Male,Married,Less than HS Grad,Information,Good,No,73.77574327
2456,2004,58,Male,Divorced,HS Grad,Industrial,Good,No,94.07271475
2457,2008,41,Male,Married,Advanced Degree,Industrial,Very Good,No,83.19132429
2458,2009,54,Male,Married,Some College,Information,Very Good,Yes,134.7053751
2459,2009,26,Male,Never Married,HS Grad,Industrial,Very Good,No,86.69515483
2460,2008,24,Male,Never Married,HS Grad,Industrial,Good,No,70.47601965
2461,2007,62,Male,Married,College Grad,Information,Very Good,No,130.9821774
2462,2005,63,Male,Married,HS Grad,Information,Very Good,Yes,136.3039976
2463,2005,26,Male,Never Married,College Grad,Industrial,Very Good,Yes,114.0225804
2464,2004,45,Male,Married,HS Grad,Information,Good,Yes,106.1275822
2465,2003,23,Male,Married,HS Grad,Industrial,Very Good,No,87.98103279
2466,2008,31,Male,Married,College Grad,Industrial,Very Good,No,116.2653241
2467,2003,44,Male,Married,Advanced Degree,Information,Very Good,Yes,143.1349408
2468,2003,43,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,54.59815003
2469,2004,48,Male,Married,HS Grad,Industrial,Very Good,No,48.18565022
2470,2008,48,Male,Married,College Grad,Information,Very Good,Yes,123.0896998
2471,2006,55,Male,Married,Advanced Degree,Information,Very Good,No,117.5843403
2472,2004,45,Male,Married,Advanced Degree,Information,Very Good,Yes,272.2947832
2473,2008,48,Male,Married,College Grad,Information,Very Good,Yes,145.1436012
2474,2009,63,Male,Married,HS Grad,Industrial,Very Good,Yes,118.8843593
2475,2004,57,Male,Married,HS Grad,Information,Very Good,Yes,97.49329405
2476,2008,69,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
2477,2009,31,Male,Never Married,College Grad,Information,Very Good,Yes,127.1157438
2478,2003,38,Male,Married,College Grad,Information,Very Good,Yes,268.266292
2479,2005,43,Male,Separated,College Grad,Information,Very Good,Yes,109.8339856
2480,2003,19,Male,Never Married,HS Grad,Industrial,Very Good,No,51.90369627
2481,2005,44,Male,Married,College Grad,Information,Very Good,Yes,114.4757133
2482,2007,31,Male,Married,College Grad,Information,Very Good,No,134.7053751
2483,2004,49,Male,Never Married,Less than HS Grad,Industrial,Very Good,Yes,87.98103279
2484,2006,29,Male,Married,Some College,Information,Good,Yes,95.23071257
2485,2008,26,Male,Married,Some College,Information,Very Good,Yes,76.89360252
2486,2007,37,Male,Married,Advanced Degree,Information,Very Good,Yes,116.2653241
2487,2006,30,Male,Never Married,HS Grad,Industrial,Very Good,No,81.28325328
2488,2009,35,Male,Married,Some College,Industrial,Very Good,Yes,131.621803
2489,2004,40,Male,Married,HS Grad,Industrial,Very Good,Yes,117.1468169
2490,2005,44,Male,Divorced,Advanced Degree,Information,Very Good,Yes,68.74808773
2491,2004,65,Male,Married,HS Grad,Industrial,Good,Yes,125.5254984
2492,2007,54,Male,Married,Some College,Industrial,Very Good,Yes,101.8243521
2493,2009,56,Male,Married,Some College,Industrial,Very Good,Yes,140.3982002
2494,2008,48,Male,Married,College Grad,Information,Very Good,Yes,107.9039239
2495,2009,37,Male,Divorced,Some College,Industrial,Good,No,58.01478201
2496,2005,30,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
2497,2005,46,Male,Married,Advanced Degree,Industrial,Very Good,No,85.38394038
2498,2009,37,Male,Married,HS Grad,Industrial,Good,Yes,131.7378012
2499,2005,58,Male,Divorced,HS Grad,Information,Very Good,No,81.28325328
2500,2007,52,Male,Married,Some College,Industrial,Good,Yes,86.69515483
2501,2006,45,Male,Married,Some College,Information,Good,Yes,157.7005277
2502,2008,33,Male,Married,HS Grad,Industrial,Very Good,No,65.11462388
2503,2004,51,Male,Married,Some College,Industrial,Very Good,No,90.48191336
2504,2008,50,Male,Married,Less than HS Grad,Industrial,Very Good,No,46.7632688
2505,2006,42,Male,Married,HS Grad,Industrial,Good,Yes,85.38394038
2506,2004,46,Male,Never Married,Some College,Industrial,Good,Yes,139.7030715
2507,2005,43,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
2508,2003,47,Male,Married,Some College,Industrial,Very Good,Yes,81.28325328
2509,2005,47,Male,Married,Advanced Degree,Information,Very Good,No,118.8843593
2510,2004,44,Male,Married,College Grad,Information,Good,No,71.15195654
2511,2008,36,Male,Married,HS Grad,Industrial,Very Good,No,65.11085372
2512,2008,39,Male,Married,HS Grad,Industrial,Good,No,65.11085372
2513,2003,29,Male,Married,College Grad,Information,Very Good,Yes,125.5254984
2514,2005,40,Male,Married,Some College,Information,Very Good,Yes,123.0896998
2515,2007,20,Male,Never Married,Some College,Industrial,Good,Yes,70.81503862
2516,2004,32,Male,Married,Advanced Degree,Information,Very Good,Yes,112.6488963
2517,2003,36,Male,Married,Some College,Industrial,Very Good,Yes,86.69515483
2518,2009,31,Male,Never Married,Some College,Industrial,Very Good,Yes,82.6796373
2519,2005,28,Male,Married,College Grad,Industrial,Very Good,Yes,130.9821774
2520,2005,41,Male,Divorced,Some College,Information,Good,Yes,117.1468169
2521,2004,54,Male,Married,College Grad,Industrial,Very Good,Yes,176.9896505
2522,2004,42,Male,Married,HS Grad,Industrial,Very Good,No,118.8843593
2523,2003,19,Male,Never Married,HS Grad,Information,Good,Yes,68.74808773
2524,2009,59,Male,Married,Some College,Information,Good,No,267.9010869
2525,2003,64,Male,Never Married,Some College,Information,Good,Yes,99.6894637
2526,2003,31,Male,Married,Some College,Industrial,Very Good,Yes,92.65813017
2527,2004,37,Male,Never Married,Some College,Information,Very Good,Yes,109.8339856
2528,2004,30,Male,Married,HS Grad,Industrial,Very Good,Yes,87.98103279
2529,2005,24,Male,Never Married,College Grad,Industrial,Very Good,Yes,118.8843593
2530,2006,26,Male,Married,HS Grad,Industrial,Good,No,75.04315402
2531,2004,44,Male,Married,College Grad,Information,Very Good,Yes,114.4757133
2532,2008,39,Male,Married,Advanced Degree,Information,Very Good,Yes,276.7784133
2533,2005,48,Male,Married,Advanced Degree,Information,Very Good,Yes,277.6014175
2534,2004,53,Male,Never Married,HS Grad,Industrial,Good,Yes,80.57319971
2535,2004,42,Male,Married,Advanced Degree,Information,Very Good,Yes,114.4757133
2536,2009,44,Male,Married,Advanced Degree,Industrial,Very Good,Yes,166.3249412
2537,2003,25,Male,Never Married,College Grad,Information,Very Good,Yes,85.38394038
2538,2004,46,Male,Married,HS Grad,Industrial,Good,Yes,43.73511168
2539,2003,52,Male,Married,Some College,Information,Very Good,No,101.8243521
2540,2008,33,Male,Married,Some College,Information,Good,Yes,87.98103279
2541,2007,30,Male,Married,Some College,Information,Very Good,No,121.4303138
2542,2007,38,Male,Never Married,Some College,Industrial,Very Good,Yes,109.8339856
2543,2005,29,Male,Never Married,HS Grad,Information,Very Good,Yes,79.85490031
2544,2008,57,Male,Married,College Grad,Industrial,Good,Yes,127.1157438
2545,2003,50,Male,Married,College Grad,Information,Very Good,Yes,115.285517
2546,2008,23,Male,Never Married,Some College,Industrial,Good,No,98.60153978
2547,2006,46,Male,Divorced,Some College,Information,Very Good,Yes,144.4780877
2548,2005,61,Male,Married,College Grad,Industrial,Good,Yes,136.1577108
2549,2007,70,Male,Married,Less than HS Grad,Information,Very Good,No,100.7642728
2550,2009,59,Male,Married,HS Grad,Industrial,Good,Yes,76.89360252
2551,2003,57,Male,Married,HS Grad,Industrial,Good,Yes,90.48191336
2552,2003,25,Male,Never Married,HS Grad,Industrial,Good,No,86.69515483
2553,2005,48,Male,Married,Some College,Industrial,Very Good,Yes,123.9085676
2554,2009,52,Male,Married,Advanced Degree,Information,Good,No,65.11085372
2555,2009,44,Male,Separated,College Grad,Information,Very Good,Yes,131.7378012
2556,2004,40,Male,Married,HS Grad,Industrial,Very Good,Yes,66.96164432
2557,2008,43,Male,Married,College Grad,Information,Good,Yes,196.1252726
2558,2005,51,Male,Married,Some College,Industrial,Good,Yes,166.3249412
2559,2003,43,Male,Married,Less than HS Grad,Information,Very Good,No,65.11085372
2560,2003,42,Male,Married,HS Grad,Industrial,Very Good,Yes,120.5894365
2561,2008,28,Male,Married,HS Grad,Industrial,Very Good,No,101.8243521
2562,2003,54,Male,Married,Advanced Degree,Information,Very Good,No,148.4131591
2563,2005,34,Male,Married,Advanced Degree,Information,Very Good,Yes,159.0520271
2564,2004,50,Male,Married,College Grad,Information,Very Good,Yes,109.8339856
2565,2005,36,Male,Married,Advanced Degree,Information,Very Good,Yes,140.0511976
2566,2005,36,Male,Married,College Grad,Industrial,Very Good,Yes,132.3524777
2567,2005,71,Male,Widowed,Some College,Industrial,Good,Yes,118.8843593
2568,2006,31,Male,Never Married,Advanced Degree,Information,Very Good,Yes,97.49329405
2569,2005,43,Male,Married,Advanced Degree,Information,Good,Yes,134.7053751
2570,2007,20,Male,Never Married,Some College,Industrial,Good,No,72.15045568
2571,2007,23,Male,Never Married,Less than HS Grad,Industrial,Very Good,Yes,87.98103279
2572,2007,42,Male,Divorced,HS Grad,Industrial,Good,No,49.55533812
2573,2005,41,Male,Married,Advanced Degree,Information,Very Good,Yes,149.0558956
2574,2009,27,Male,Married,Advanced Degree,Information,Very Good,Yes,122.2636739
2575,2008,29,Male,Married,Some College,Industrial,Good,No,101.8243521
2576,2008,41,Male,Divorced,Some College,Industrial,Good,Yes,99.6894637
2577,2003,41,Male,Married,HS Grad,Industrial,Good,Yes,104.9215065
2578,2003,22,Male,Never Married,Some College,Information,Good,No,81.28325328
2579,2003,39,Male,Married,HS Grad,Industrial,Good,Yes,73.77574327
2580,2008,50,Male,Married,College Grad,Industrial,Very Good,No,82.6796373
2581,2006,49,Male,Never Married,College Grad,Industrial,Good,Yes,148.4131591
2582,2003,42,Male,Married,Some College,Information,Very Good,Yes,118.8843593
2583,2008,38,Male,Married,HS Grad,Information,Very Good,Yes,129.4536446
2584,2004,55,Male,Married,College Grad,Information,Good,No,134.7053751
2585,2005,47,Male,Never Married,HS Grad,Industrial,Good,No,79.85490031
2586,2007,52,Male,Married,Less than HS Grad,Information,Very Good,No,68.11199407
2587,2009,56,Male,Divorced,College Grad,Industrial,Very Good,No,40.40566526
2588,2007,30,Male,Married,Some College,Information,Very Good,No,131.7378012
2589,2005,56,Male,Married,HS Grad,Industrial,Good,No,134.7053751
2590,2003,46,Male,Married,HS Grad,Industrial,Good,Yes,114.4757133
2591,2009,43,Male,Married,Less than HS Grad,Information,Very Good,No,126.3238807
2592,2003,35,Male,Married,Some College,Industrial,Good,Yes,116.7071546
2593,2009,58,Male,Married,HS Grad,Industrial,Good,Yes,109.8339856
2594,2009,69,Male,Married,HS Grad,Industrial,Good,Yes,81.22674631
2595,2006,68,Male,Divorced,HS Grad,Information,Good,Yes,87.98103279
2596,2004,52,Male,Married,Some College,Information,Very Good,Yes,127.1157438
2597,2005,46,Male,Never Married,College Grad,Information,Good,Yes,104.9215065
2598,2007,39,Male,Never Married,College Grad,Information,Very Good,Yes,107.9039239
2599,2009,66,Male,Married,College Grad,Industrial,Good,No,109.8339856
2600,2005,30,Male,Married,Advanced Degree,Industrial,Very Good,Yes,117.1468169
2601,2006,30,Male,Divorced,Some College,Industrial,Very Good,Yes,107.9039239
2602,2005,43,Male,Married,HS Grad,Industrial,Very Good,No,72.15045568
2603,2008,49,Male,Married,Advanced Degree,Industrial,Very Good,Yes,160.6424754
2604,2005,54,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
2605,2008,48,Male,Divorced,Advanced Degree,Information,Very Good,Yes,143.1349408
2606,2008,37,Male,Separated,Some College,Information,Very Good,No,97.49329405
2607,2007,46,Male,Married,College Grad,Information,Good,Yes,141.7751723
2608,2007,53,Male,Married,HS Grad,Industrial,Very Good,No,148.4131591
2609,2009,31,Male,Never Married,College Grad,Industrial,Very Good,Yes,109.8339856
2610,2006,18,Male,Never Married,Some College,Information,Very Good,No,59.09706408
2611,2003,49,Male,Married,College Grad,Information,Very Good,Yes,152.5282169
2612,2006,39,Male,Married,HS Grad,Industrial,Very Good,No,81.28325328
2613,2003,40,Male,Married,HS Grad,Information,Good,No,43.73511168
2614,2008,37,Male,Married,HS Grad,Information,Very Good,Yes,96.37065283
2615,2006,24,Male,Married,HS Grad,Industrial,Very Good,Yes,101.8243521
2616,2007,35,Male,Married,College Grad,Industrial,Very Good,Yes,130.9821774
2617,2007,27,Male,Never Married,HS Grad,Industrial,Very Good,No,82.6796373
2618,2003,44,Male,Never Married,Advanced Degree,Information,Very Good,Yes,130.9821774
2619,2008,46,Male,Married,College Grad,Industrial,Very Good,No,89.24288466
2620,2005,40,Male,Married,Some College,Information,Good,No,85.11853342
2621,2007,39,Male,Married,Advanced Degree,Information,Very Good,Yes,166.3249412
2622,2008,42,Male,Never Married,Less than HS Grad,Industrial,Good,Yes,100.7642728
2623,2003,37,Male,Married,HS Grad,Industrial,Very Good,Yes,99.6894637
2624,2008,58,Male,Married,Some College,Information,Very Good,Yes,123.0896998
2625,2005,40,Male,Married,Advanced Degree,Industrial,Very Good,Yes,163.515864
2626,2003,27,Male,Married,HS Grad,Information,Good,Yes,85.38394038
2627,2003,31,Male,Married,Some College,Information,Very Good,Yes,75.35567932
2628,2008,44,Male,Married,HS Grad,Industrial,Very Good,No,65.11085372
2629,2003,38,Male,Divorced,HS Grad,Industrial,Very Good,Yes,92.65813017
2630,2004,34,Male,Married,College Grad,Information,Very Good,No,137.5901428
2631,2005,41,Male,Married,HS Grad,Information,Very Good,Yes,134.8515263
2632,2007,20,Male,Never Married,Less than HS Grad,Industrial,Very Good,No,72.4793163
2633,2008,28,Male,Never Married,College Grad,Information,Very Good,Yes,178.5330504
2634,2009,55,Male,Married,College Grad,Information,Very Good,Yes,98.59934386
2635,2008,38,Male,Married,College Grad,Information,Good,No,115.3750386
2636,2005,33,Male,Never Married,HS Grad,Industrial,Good,No,73.77574327
2637,2009,43,Male,Never Married,HS Grad,Industrial,Good,Yes,36.6737042
2638,2006,50,Male,Married,College Grad,Information,Very Good,Yes,123.0896998
2639,2008,55,Male,Married,College Grad,Information,Very Good,Yes,87.98103279
2640,2005,24,Male,Never Married,Some College,Information,Very Good,No,73.93571929
2641,2008,41,Male,Married,College Grad,Information,Very Good,Yes,176.9896505
2642,2009,37,Male,Divorced,College Grad,Information,Good,No,118.8843593
2643,2005,42,Male,Married,Some College,Information,Good,Yes,134.7053751
2644,2004,25,Male,Never Married,College Grad,Information,Very Good,Yes,90.48191336
2645,2005,45,Male,Married,Advanced Degree,Information,Very Good,Yes,148.4131591
2646,2009,40,Male,Married,Less than HS Grad,Industrial,Very Good,Yes,81.28325328
2647,2004,43,Male,Married,Advanced Degree,Information,Very Good,Yes,130.9821774
2648,2006,50,Male,Married,Some College,Industrial,Very Good,Yes,176.9896505
2649,2003,42,Male,Never Married,HS Grad,Information,Good,Yes,82.6796373
2650,2003,38,Male,Married,HS Grad,Industrial,Good,Yes,131.7378012
2651,2006,44,Male,Divorced,Less than HS Grad,Industrial,Very Good,Yes,82.6796373
2652,2007,19,Male,Never Married,Some College,Industrial,Good,No,41.44121303
2653,2004,44,Male,Never Married,Some College,Information,Very Good,Yes,117.1468169
2654,2003,26,Male,Never Married,Less than HS Grad,Industrial,Very Good,Yes,73.77574327
